,,,12:????,,,,,10:????,,,11:????,,,01~06:??????,,,08~09:????,,07:??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronze Box (LVL 100 Muse),2066,2067,2538,2545,3066,3067,3438,3445,4066,4067,4438,4445,5066,5067,5438,5445,8312,8313,8342,8343,8312,8313,8342,8343,12082,12083,12084,12085,12086,11332,,,,,,,,,,,,,,,,,,,,
Bronze Box (LVL 100 Hawker),2096,2097,2638,2645,3096,3097,3538,3545,4096,4097,4538,4545,5096,5097,5538,5545,8068,8069,8215,8216,8412,8413,8440,8441,12082,12083,12084,12085,12086,11302,,,,,,,,,,,,,,,,,,,,
Bronze Box (LVL 100 Dealer),2126,2127,2738,2745,3126,3127,3638,3645,4126,4127,4638,4645,5126,5127,5638,5645,8242,8243,8270,8271,8242,8243,8270,8271,12082,12083,12084,12085,12086,11322,,,,,,,,,,,,,,,,,,,,
Bronze Box (LVL 100 Random),DROPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronze Box (LVL 150 Soldier),2039,2040,2459,2466,3039,3040,3359,3366,4039,4040,4359,4366,5039,5040,5359,5366,8020,8021,8049,8050,8118,8119,8147,8148,8179,8180,12085,12086,12087,11313,,,,,,,,,,,,,,,,,,,,
Bronze Box (LVL 150 Muse),2069,2070,2559,2566,3069,3070,3459,3466,4069,4070,4459,4466,5069,5070,5459,5466,8318,8319,8347,8348,8318,8319,8347,8348,12083,12084,12085,12086,12087,11333,,,,,,,,,,,,,,,,,,,,
Bronze Box (LVL 150 Hawker),2099,2100,2659,2666,3099,3010,3559,3566,4100,4101,4559,4566,5099,5100,5559,5566,8072,8073,8219,8220,8418,8419,8446,8447,12083,12084,12085,12086,12087,11303,,,,,,,,,,,,,,,,,,,,
Bronze Box (LVL 150 Dealer),2129,2130,2759,2766,3129,3130,3659,3666,4129,4130,4659,4666,5129,5130,5659,5666,8248,8249,8276,8277,8248,8249,8276,8277,12083,12084,12085,12086,12087,11323,,,,,,,,,,,,,,,,,,,,
Bronze Box (LVL 150 Random),DROPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronze Box (LVL 200 Soldier),2043,3043,4043,5043,8023,8052,8121,8152,8184,2044,3044,4044,5044,2043,3043,4043,5043,8529,8558,8600,8633,8667,2048,3048,4048,5048,12086,12087,12088,11314,,,,,,,,,,,,,,,,,,,,
Bronze Box (LVL 200 Muse),2073,3073,4073,5073,8350,8322,8350,8322,12085,2074,3074,4074,5074,2073,3073,4073,5073,8789,8812,8789,8812,12086,2078,3078,4078,5078,12086,12087,12088,11334,,,,,,,,,,,,,,,,,,,,
Bronze Box (LVL 200 Hawker),2103,3103,4103,5103,8076,8222,8421,8449,12085,2104,3104,4104,5104,2103,3103,4103,5103,8575,8691,8849,8869,12086,2108,3108,4108,5108,12086,12087,12088,11304,,,,,,,,,,,,,,,,,,,,
Bronze Box (LVL 200 Dealer),2133,3133,4133,5133,8251,8279,8251,8279,12085,2134,3134,4134,5134,2133,3133,4133,5133,8723,8750,8723,8750,12086,2138,3138,4138,5138,12086,12087,12088,11324,,,,,,,,,,,,,,,,,,,,
Bronze Box (LVL 200 Random),DROPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Box (LVL 70 Soldier),2426,2433,2425,2432,3325,3332,3326,3333,4332,4333,4325,4326,5332,5333,5325,5326,8505,8012,8536,8041,8584,8110,8615,8139,8645,8171,12084,12085,12086,11311,,,,,,,,,,,,,,,,,,,,
Silver Box (LVL 70 Muse),2526,2533,2525,2532,3425,3426,3432,3433,4432,4433,4425,4426,5432,5433,5425,5426,8766,8310,8796,8341,8766,8310,8796,8341,12082,12083,12084,12085,12086,11331,,,,,,,,,,,,,,,,,,,,
Silver Box (LVL 70 Hawker),2626,2633,2625,2632,3533,3532,3525,3526,4532,4533,4525,4526,5532,5533,5525,5526,8826,8410,8855,8438,8676,8211,8563,8066,12082,12083,12084,12085,12086,11301,,,,,,,,,,,,,,,,,,,,
Silver Box (LVL 70 Dealer),2726,2733,2725,2732,3625,3626,3632,3633,4633,4632,4625,4626,5632,5633,5625,5626,8706,8240,8733,8268,8706,8240,8733,8268,12082,12083,12084,12085,12086,11321,,,,,,,,,,,,,,,,,,,,
Silver Box (LVL 70 Random),DROPPED,,,,,,,,,,,,,,,,,,,,,,,,12082,12083,12084,12085,12086,11361,,,,,,,,,,,,,,,,,,,,
Silver Box (LVL 100 Soldier),2439,2446,2440,2447,3339,3346,3340,3347,4339,4340,4346,4347,5339,5346,5340,5347,8513,8016,8543,8045,8587,8114,8620,8143,8651,8175,12084,12085,12086,11312,,,,,,,,,,,,,,,,,,,,
Silver Box (LVL 100 Muse),2539,2546,2540,2547,3439,3446,3440,3447,4439,4440,4446,4447,5439,5446,5440,5447,8773,8314,8800,8344,8773,8314,8800,8344,12082,12083,12084,12085,12086,11332,,,,,,,,,,,,,,,,,,,,
Silver Box (LVL 100 Hawker),2639,2646,2640,2647,3539,3546,3540,3547,4539,4540,4546,4547,5539,5546,5540,5547,8566,8070,8681,8217,8833,8414,8859,8442,12082,12083,12084,12085,12086,11302,,,,,,,,,,,,,,,,,,,,
Silver Box (LVL 100 Dealer),2739,2746,2740,2747,3639,3646,3640,3647,4639,4640,4646,4647,5639,5646,5640,5647,8710,8244,8737,8271,8710,8244,8737,8271,12082,12083,12084,12085,12086,11322,,,,,,,,,,,,,,,,,,,,
Silver Box (LVL 100 Random),DROPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Box (LVL 150 Soldier),2460,2467,2461,2468,3360,3367,3361,3368,4360,4367,4361,4368,5360,5367,5361,5368,8524,8024,8553,8053,8595,8122,8628,8149,8662,8182,12085,12086,12087,11313,,,,,,,,,,,,,,,,,,,,
Silver Box (LVL 150 Muse),2560,2567,2561,2568,3460,3467,3461,3468,4460,4467,4461,4468,5460,5467,5461,5468,8783,8323,8806,8351,8783,8323,8806,8351,12083,12084,12085,12086,12087,11333,,,,,,,,,,,,,,,,,,,,
Silver Box (LVL 150 Hawker),2660,2667,2661,2668,3560,3567,3561,3568,4560,4567,4561,4568,5560,5567,5561,5568,8571,8074,8686,8223,8844,8422,8865,8450,12083,12084,12085,12086,12087,11303,,,,,,,,,,,,,,,,,,,,
Silver Box (LVL 150 Dealer),2760,2767,2761,2768,3660,3667,3661,3668,4660,4667,4661,4668,5660,5667,5661,5668,8718,8252,8745,8280,8718,8252,8745,8280,12083,12084,12085,12086,12087,11323,,,,,,,,,,,,,,,,,,,,
Silver Box (LVL 150 Random),DROPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Box (LVL 200 Soldier),2480,3380,4380,5380,8023,8052,8121,8152,8184,2482,3382,4382,5382,2480,3380,4380,5380,8026,8057,8127,8153,8186,2484,3384,4384,5384,12086,12087,12088,11314,,,,,,,,,,,,,,,,,,,,
Silver Box (LVL 200 Muse),2580,3480,4480,5480,8350,8322,8350,8322,12085,2582,3482,4482,5482,2580,3480,4480,5480,8329,8357,8329,8357,12086,2584,3484,4484,5484,12086,12087,12088,11334,,,,,,,,,,,,,,,,,,,,
Silver Box (LVL 200 Hawker),2680,3580,4580,5580,8076,8222,8421,8449,12085,2682,3582,4582,5582,2680,3580,4580,5580,8079,8227,8424,8451,12086,2684,3584,4584,5584,12086,12087,12088,11304,,,,,,,,,,,,,,,,,,,,
Silver Box (LVL 200 Dealer),2780,3680,4680,5680,8251,8279,8251,8279,12085,2782,3682,4682,5682,2780,3680,4680,5680,8260,8286,8260,8286,12086,3684,3684,4684,5684,12086,12087,12088,11324,,,,,,,,,,,,,,,,,,,,
Silver Box (LVL 200 Random),DROPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Box (LVL 70 Soldier),2426,2433,2427,2434,3326,3333,3327,3334,4333,4334,4326,4327,5326,5327,5333,5334,8507,8509,8537,8539,8585,8586,8616,8617,8646,8647,12084,12085,12086,11311,,,,,,,,,,,,,,,,,,,,
Golden Box (LVL 70 Muse),2526,2534,3434,3427,4427,4434,5427,5434,2527,2533,3433,3426,4426,4433,5426,5433,8767,8769,8796,8797,8767,8769,8796,8797,12082,12083,12084,12085,12086,11331,,,,,,,,,,,,,,,,,,,,
Golden Box (LVL 70 Hawker),2627,2634,3527,3534,4534,4527,5527,5534,2626,2633,3526,3533,4533,4526,5526,5533,8828,8829,8856,8857,8677,8678,8563,8564,12082,12083,12084,12085,12086,11301,,,,,,,,,,,,,,,,,,,,
Golden Box (LVL 70 Dealer),2727,2734,3634,3627,4634,4627,5627,5634,2726,2733,3633,3626,4633,4626,5626,5633,8707,8708,8734,8735,8707,8708,8734,8735,12082,12083,12084,12085,12086,11321,,,,,,,,,,,,,,,,,,,,
Golden Box (LVL 70 Random),11361,12063,12064,12065,12082,12083,12084,12151,12152,12211,12196,12197,12198,12199,10970,12201,12202,10306,10307,10308,10309,10310,10311,10312,10186,14499,12381,12381,12381,12144,,,,,,,,,,,,,,,,,,,,
Golden Box (LVL 100 Soldier),2441,2448,3341,3348,4341,4348,5341,5348,2440,2447,3340,3347,4340,4347,5340,5347,8515,8517,8545,8547,8588,8589,8621,8622,8654,8655,12084,12085,12086,11312,,,,,,,,,,,,,,,,,,,,
Golden Box (LVL 100 Muse),2541,2548,3441,3448,4441,4448,5441,5448,2540,2547,3440,3447,4440,4447,5440,5447,8775,8776,8801,8802,8775,8776,8801,8802,12082,12083,12084,12085,12086,11332,,,,,,,,,,,,,,,,,,,,
Golden Box (LVL 100 Hawker),2641,2648,3541,3548,4541,4548,5541,5548,2640,2647,3540,3547,4540,4547,5540,5547,8567,8568,8681,8682,8835,8837,8860,8861,12082,12083,12084,12085,12086,11302,,,,,,,,,,,,,,,,,,,,
Golden Box (LVL 100 Dealer),2741,2748,3641,3648,4641,4648,5641,5648,2740,2747,3640,3647,4640,4647,5640,5647,8711,8712,8738,8739,8711,8712,8738,8739,12082,12083,12084,12085,12086,11322,,,,,,,,,,,,,,,,,,,,
Golden Box (LVL 100 Random),11362,12064,12065,12066,12083,12084,12085,12153,12154,12212,12198,12199,12200,12207,10970,12204,12205,10313,10314,10315,10316,10317,10318,10319,10188,14500,12381,12381,12381,12144,,,,,,,,,,,,,,,,,,,,
Golden Box (LVL 150 Soldier),2462,2469,3362,3369,4362,4369,5362,5369,2461,2468,3361,3368,4361,4368,5361,5368,8525,8526,8554,8555,8596,8597,8629,8630,8663,8664,12085,12086,12086,11313,,,,,,,,,,,,,,,,,,,,
Golden Box (LVL 150 Muse),2562,2569,3462,3469,4462,4469,5462,5469,2561,2568,3461,3468,4461,4468,5461,5468,8785,8786,8807,8808,8785,8786,8807,8808,12083,12084,12085,12086,12086,11333,,,,,,,,,,,,,,,,,,,,
Golden Box (LVL 150 Hawker),2662,2669,3562,3569,4562,4569,5562,5569,2661,2668,3561,3568,4561,4568,5561,5568,8572,8573,8687,8688,8845,8846,8866,8867,12083,12084,12085,12086,12086,11303,,,,,,,,,,,,,,,,,,,,
Golden Box (LVL 150 Dealer),2762,2769,3662,3669,4662,4669,5662,5669,2761,2768,3661,3668,4661,4668,5661,5668,8719,8720,8746,8747,8719,8720,8746,8747,12083,12084,12085,12086,12086,11323,,,,,,,,,,,,,,,,,,,,
Golden Box (LVL 150 Random),11363,12065,12066,12067,12085,12086,12087,12155,12156,12213,12250,12251,12364,12365,10970,12368,12369,10342,10343,10344,10345,10346,10347,10301,10190,6288,6440,12381,12381,6439,,,,,,,,,,,,,,,,,,,,
Golden Box (LVL 200 Soldier),2481,3381,4381,5381,8529,8558,8600,8633,8667,2483,3383,4383,5383,2481,3381,4381,5381,8530,8559,8601,8634,8668,2485,3385,4385,5385,12086,12087,12086,11314,,,,,,,,,,,,,,,,,,,,
Golden Box (LVL 200 Muse),2581,3481,4481,5481,8789,8812,8789,8812,12085,2583,3483,4483,5483,2581,3481,4481,5481,8790,8813,8790,8813,12086,2585,3485,4485,5485,12086,12087,12088,11334,,,,,,,,,,,,,,,,,,,,
Golden Box (LVL 200 Hawker),2681,3581,4581,5581,8575,8691,8849,8869,12085,2683,3583,4583,5583,2681,3581,4581,5581,8576,8692,8850,8870,12086,2685,3585,4585,5585,12086,12087,12088,11304,,,,,,,,,,,,,,,,,,,,
Golden Box (LVL 200 Dealer),2781,3681,4681,5681,8723,8750,8723,8750,12085,2783,3683,4683,5683,2785,3681,4681,5681,8724,8751,8724,8751,12086,3685,3685,4685,5685,12086,12087,12088,11324,,,,,,,,,,,,,,,,,,,,
Golden Box (LVL 200 Random),11364,12289,12290,12284,12089,12087,12088,12157,12157,12213,12250,12251,12366,12367,10970,12370,12371,12144,12284,12290,12289,14501,12381,12380,7342,7358,7374,7378,7394,7410,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volcanic Dragon,12155,12069,,12163,11313,12155,,,12163,6116,12155,12069,12086,,6116,12155,,,12163,11313,12155,,12155,1149,,1149,6116,6116,1149,6116,,,,,,,,,,,,,,,,,,,,
Matriarch Volcanic Dragon,6116,,6116,,6116,,1149,1149,,6116,6116,,6116,6116,6116,6116,6116,6116,6116,6116,6116,6116,1149,6116,1149,6116,1149,6116,1149,6116,,,,,,,,,,,,,,,,,,,,
Hydratic Dragon,12153,12069,,12162,11323,12153,,,12162,6117,12153,12069,12086,,6117,12153,,,12162,11323,12153,,12153,1150,,1150,6117,6117,1150,6117,,,,,,,,,,,,,,,,,,,,
Matriarch Hydratic Dragon,6117,,6117,,6117,,1150,1150,,6117,6117,,6117,6117,6117,6117,6117,6117,6117,6117,6117,6117,1150,6117,1150,6117,1150,6117,1150,6117,,,,,,,,,,,,,,,,,,,,
Sunlight Dragon,12156,12069,,12164,11353,12156,,,12164,6118,12156,12069,12086,,6118,12156,,,12164,11353,12156,,12156,1158,,1158,6118,6118,1158,6118,,,,,,,,,,,,,,,,,,,,
Matriarch Sunlight Dragon,6118,,6118,,6118,,1158,1158,,6118,6118,,6118,6118,6118,6118,6118,6118,6118,6118,6118,6118,1150,6118,1150,6118,1150,6118,1150,6118,,,,,,,,,,,,,,,,,,,,
Matriarch Elven Dragon,6106,,6106,,6106,,1148,1148,,6106,6106,,6106,6106,6106,6106,6106,6106,6106,6106,6106,6106,1148,6106,1148,6106,1148,6106,1148,6106,,,,,,,,,,,,,,,,,,,,
Bronze Egg,10342,,10344,,10345,10346,10347,12155,12066,12086,,11389,12155,,12086,11312,12155,,12086,,11389,12163,12066,12085,11312,11389,12163,11389,12163,12163,,,,,,,,,,,,,,,,,,,,
Silver Egg,10342,10343,10344,12157,10345,10346,10347,12157,12067,,11332,,12157,12067,,11332,,12066,12085,11332,11402,12164,,12086,11332,,12164,11402,12164,12164,,,,,,,,,,,,,,,,,,,,
Golden Egg,10342,10343,10344,12156,10345,,10347,12156,12068,,11343,11403,12156,,12088,11343,12156,12067,,11342,,12161,12067,12086,,11403,12161,11403,12161,12161,,,,,,,,,,,,,,,,,,,,
Platinum Egg,10342,,10344,12153,,10346,10347,12153,12068,,11364,,,12069,12087,11381,12153,12068,,11373,,12162,12068,12085,11391,12200,,12200,12162,12162,,,,,,,,,,,,,,,,,,,,
Elven Dragon,12152,12069,,12161,11343,12152,,,12161,6106,12152,12069,12086,,6106,12152,6106,,12161,11343,12152,,12152,1148,,1148,6106,6106,1148,6106,,,,,,,,,,,,,,,,,,,,
Entiku Guardian,10160,10160,10170,10170,10180,10180,10346,10346,10344,10344,10317,10317,10315,10315,10032,10032,10188,10188,10190,10190,12069,12069,12088,12088,12380,12380,12089,12089,7353,12290,,,,,,,,,,,,,,,,,,,,
Terrasaurus Guardian,12161,12162,12163,12164,12151,12152,12153,12154,12155,12156,12157,10342,10343,10344,10345,10346,10347,10188,10189,10190,10188,10189,10190,12381,12380,12381,10189,12088,11303,11343,,,,,,,,,,,,,,,,,,,,
Giant Terrasaurus,12381,10032,10013,12004,12048,12062,,12063,10382,12151,10057,10058,,12072,12076,12083,12095,,12105,12117,12369,10308,10311,10181,10182,10183,10184,10185,10186,10187,,,,,,,,,,,,,,,,,,,,
Terrasaurus (Small),12381,10031,10012,12001,12045,,12061,12062,10301,12154,10056,,10057,12072,12074,12082,,12093,12105,12117,12124,,10309,10311,,10181,10182,10183,10184,10185,,,,,,,,,,,,,,,,,,,,
Terrasaurus Gaurdian (Unique),12152,12153,12155,12157,12156,10342,10343,10344,10345,10346,10347,10188,10189,10190,10188,10189,10190,12381,12380,12381,12380,12284,12089,11303,11343,11382,12284,7345,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devourer Guardian,12161,12162,12163,12164,12151,12152,12153,12154,12155,12156,12157,10342,10343,10344,10345,10346,10347,10188,10189,10190,10188,10189,10190,12381,12380,12381,10189,12087,11333,11323,,,,,,,,,,,,,,,,,,,,
Devourer Berserker,12381,10033,10014,12132,12133,12065,,12066,10382,12085,10057,10058,,12020,12022,12291,12294,,12293,12048,12371,12075,10311,10181,10182,10183,10184,10185,10186,10187,,,,,,,,,,,,,,,,,,,,
Devourer (Small),12381,10031,10012,12132,12133,12062,12064,10301,12151,10056,10058,,10058,12078,12257,,12255,12253,12153,12024,,12122,10312,11331,10181,10182,,10183,,10184,,,,,,,,,,,,,,,,,,,,
Devourer Guardian (Unique),12152,12153,12155,12157,12156,10342,10343,10344,10345,10346,10347,10188,10189,10190,10188,10189,10190,12381,12380,12381,12380,12290,12089,12290,11333,11323,11372,7369,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desert Golem Guardian,12161,12162,12163,12164,12151,12152,12153,12154,12155,12156,12157,10342,10343,10344,10345,10346,10347,10188,10189,10190,10188,10189,10190,12381,12380,12381,10189,12088,11333,11363,,,,,,,,,,,,,,,,,,,,
Reckless Golem,,10032,10013,12253,12103,12062,,12067,10383,12120,10057,10058,10176,,10166,12026,12078,12086,,12099,12115,12212,10311,10181,10182,10183,10184,10185,10186,10187,,,,,,,,,,,,,,,,,,,,
Sand Golem (Small),12381,10031,10012,12258,12256,,12061,12063,10301,12157,10056,10057,,12084,12085,12024,12030,,12016,12008,12020,,10306,10031,,10181,10182,10183,10184,10185,,,,,,,,,,,,,,,,,,,,
Desert Golem Guardian (Unique),12152,12153,12155,12157,12156,10342,10343,10344,10345,10346,10347,10188,10189,10190,10188,10189,10190,12381,12380,12381,12380,12284,12089,11363,11353,11392,10190,7381,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mastyx Guardian,12161,12162,12163,12164,12151,12152,12153,12154,12155,12156,12157,10342,10343,10344,10345,10346,10347,10188,10189,10190,10188,10189,10190,12381,12380,12381,10189,12088,11303,11343,,,,,,,,,,,,,,,,,,,,
Corrupted Mastyx,12381,10033,10033,10014,12253,12097,,12064,12065,10383,12077,10058,10170,12104,,12114,12156,12085,12105,,12102,12187,11382,10181,10182,10183,10184,10185,10186,10187,,,,,,,,,,,,,,,,,,,,
Mastyx (Small),12381,10032,10013,12291,12293,,12061,12063,,10301,12155,10056,10057,,12367,12084,12025,12049,,12010,12008,12018,10307,12044,,10181,10182,10183,10184,10185,,,,,,,,,,,,,,,,,,,,
Mastyx Guardian (Unique),12152,12153,12155,12157,12156,10342,10343,10344,10345,10346,10347,10188,10189,10190,10188,10189,10190,12381,12380,12381,12380,12290,12089,12290,11303,11343,11392,7357,,8001313,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapper Guardian,12161,12162,12163,12164,12151,12152,12153,12154,12155,12156,12157,10342,10343,10344,10345,10346,10347,10188,10189,10190,10188,10189,10190,12381,12380,12381,12085,12087,11313,11363,,,,,,,,,,,,,,,,,,,,
Demonic Snapper,12381,10033,10013,12156,12153,,12067,12068,10384,12071,10059,,10159,12104,12134,11312,12086,12105,,12256,12259,12258,10181,10182,10183,10184,10185,10186,10187,10181,,,,,,,,,,,,,,,,,,,,
Snapper (Small),12381,10031,10013,12293,,12294,12064,12066,10301,,10056,10057,10058,,12364,12085,,12258,12253,12105,12104,12030,,12015,12048,10181,10182,10183,10184,10185,,,,,,,,,,,,,,,,,,,,
Snapper Guardian (Unique),12152,12153,12155,12157,12156,10342,10343,10344,10345,10346,10347,10188,10189,10190,10188,10189,10190,12381,12380,12381,12380,12289,12089,11313,11363,11382,12289,7393,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pharaoh Boss,12151,12152,12153,12154,12155,12156,12157,12380,10188,10189,10190,10188,10189,10190,12284,12290,12289,11383,11393,11373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serpent Servant,12066,12067,12068,12084,12085,12086,12104,10058,10059,10039,10160,10170,10180,10301,10316,10315,10181,10182,10183,10184,10185,10186,10187,10181,10182,10183,10184,10185,10186,10187,,,,,,,,,,,,,,,,,,,,
Fiery Serpent,12084,12063,12064,12065,12085,12086,12104,10058,10059,10019,10160,10170,10180,10301,10317,10319,10181,10182,10183,10184,10185,10186,10187,10181,10182,10183,10184,10185,10186,10187,,,,,,,,,,,,,,,,,,,,
Pharaoh Boss (Unique),12152,12153,12155,12157,12156,12380,10188,10189,10190,10188,10189,10190,12290,12289,11383,11393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Throne Ra,12151,12152,12153,12154,12155,12157,12156,12380,10188,10188,10189,10189,10190,10190,12087,12088,12089,12089,12066,12067,12068,12069,11383,11393,11373,12381,12243,12243,6017,7405,,,,,,,,,,,,,,,,,,,,
Corrupted Sun God Ra,12243,12152,12153,12155,12157,12156,12380,10188,10189,10190,12088,12089,12068,12069,11383,11393,12089,12141,12381,12156,12155,12380,12243,12243,12243,12243,12243,12243,10002042,10002042,,,,,,,,,,,,,,,,,,,,
Ra Spear,12073,,12074,12081,,,12104,10057,,,10160,,10180,,10171,,,10182,10183,,,10183,,10181,,,,10184,10185,10186,,,,,,,,,,,,,,,,,,,,
Ra Bow,12073,12074,,12061,,12080,,,10056,10012,,,10180,,10171,,10181,,10183,,10182,,10184,,10182,,10184,,10185,10186,,,,,,,,,,,,,,,,,,,,
Ra Sword,12084,,12062,,12084,,12104,10058,,,10160,10170,,10301,,10119,,10182,,10184,,10183,,10181,,10183,,10184,,10186,,,,,,,,,,,,,,,,,,,,
Ra Mage,12062,12061,,,12083,,,,10058,10036,,10170,,10301,,10119,10181,,,,10182,,10184,,,10183,10184,,10185,10186,,,,,,,,,,,,,,,,,,,,
Mimic Chest of Menes,12381,12381,12065,12066,12067,12068,12069,12064,10033,10014,10186,10187,10188,10189,12152,12154,10190,12086,12087,12156,12088,12239,12239,12239,12239,10002093,10002093,12284,12290,12289,,,,,,,,,,,,,,,,,,,,
Cerberus,12193,12193,12193,12012,12011,12012,12011,12193,12087,12194,12011,12193,12194,12011,12012,12087,12113,12113,12113,2448,2548,2648,2748,12113,12011,12194,12011,12193,12087,8940,,,,,,,,,,,,,,,,,,,,
Corrupted Sun God Ra (Unique),12243,12152,12153,12155,12157,12156,12380,10188,10189,10190,12088,12089,12068,12069,11383,11393,12089,12141,12381,12156,12155,12380,12243,12243,12243,8001158,8001153,8001154,8001151,8001152,,,,,,,,,,,,,,,,,,,,
Corrupted Sun God Ra (Unique),12243,12152,12153,12155,12157,12156,12380,10188,10189,10190,12088,12089,12068,12069,11383,11393,12089,12141,12381,12156,12155,12380,12243,12243,12243,8001155,8001156,8001159,8001157,8001302,,,,,,,,,,,,,,,,,,,,
Corrupted Sun God Ra (Unique),12243,12152,12153,12155,12157,12156,12380,10188,10189,10190,12088,12089,12068,12069,11383,11393,12089,12141,12381,12156,12155,12380,12243,12243,12243,8001161,8001160,8001162,8001163,8001303,,,,,,,,,,,,,,,,,,,,
Serpent Menes,12381,12294,,10014,12293,10014,10181,,,10182,10183,,10184,10185,12291,12063,,12063,12062,12078,12064,,12065,10033,10058,,,,,10058,,,,,,,,,,,,,,,,,,,,
Spider Kera,14889,14889,14889,14889,14889,14889,14889,14889,14889,14889,14889,14889,14889,14889,14889,14889,14889,14889,14889,14889,14889,14889,14889,14889,14889,14889,14889,14889,14889,14889,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memphis Citizens,12381,12527,12381,12528,12527,12044,12528,12044,12528,12061,12044,12131,12061,,12073,12073,12529,,12529,12131,,12103,12105,12103,12105,,12131,12533,12137,12521,,,,,,,,,,,,,,,,,,,,
Memphis Mages,12381,12528,12059,12528,12381,12059,12061,12113,,12061,12085,,12113,12121,12085,12132,12530,12121,12530,12132,12135,,12135,12531,,12132,12131,12521,12531,12521,,,,,,,,,,,,,,,,,,,,
Memphis Hawkers,12381,12527,10014,12381,12527,10014,12528,,12528,10157,12086,,12531,10301,10382,12531,,12532,12022,12532,,12022,12062,,12062,,12521,12533,,12521,,,,,,,,,,,,,,,,,,,,
Memphis Soldiers,12381,12528,10058,12528,10058,12085,12381,12529,10382,12529,10382,12532,,12532,,12532,,,12065,,12533,12022,,12533,,12521,12533,12534,,12521,,,,,,,,,,,,,,,,,,,,
Memphis General,12381,10383,,10382,,12381,12530,12530,12531,12531,12151,10316,12151,12316,12532,12063,12532,12064,12068,12068,,12533,12533,12521,,12534,12521,12534,12156,12521,,,,,,,,,,,,,,,,,,,,
Memphis Pharaoh,12381,12534,12533,12531,12529,12527,12067,12381,12068,12069,,12069,12284,12156,12364,12371,12521,12380,12078,12521,12521,12087,12088,2141,5111,4051,3081,8259,8426,8027,,,,,,,,,,,,,,,,,,,,
Anubis Berserker (Bronze 1),12381,12527,10014,12381,12527,10014,12528,,12528,10157,12086,12086,12531,10301,10382,12531,12156,12532,12022,12532,12022,,12521,12521,12062,12533,12521,12533,12521,7347,,,,,,,,,,,,,,,,,,,,
Anubis Berserker (Bronze 2),12381,12527,10014,12381,,12527,10014,12528,12528,10157,12086,12531,10301,,10382,,12531,12532,12022,12156,12022,12532,12062,12521,12062,12533,12521,12521,12521,7355,,,,,,,,,,,,,,,,,,,,
